height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
635.0,5.0,542.0,4.0,1,348.0,0.0,0.0,0.0
58.5,2.0,317.0,4.0,1,599.0,0.0,0.0,0.0
1244.0,10.0,893.0,4.0,1,1294.0,0.0,0.0,0.0
58.0,2.5,290.0,4.0,1,419.0,9.75,1.0,0.0
1565.0,8.0,521.0,4.0,1,421.0,0.0,0.0,0.0
396.0,10.0,521.0,4.0,1,717.0,0.0,0.0,0.0
274.0,6.5,167.0,4.0,1,500.0,0.0,0.0,0.0
76.0,2.0,777.0,4.0,0,488.0,11.11111111111111,3.0,0.0
235.75,4.0,1224.0,4.0,1,656.0,0.0,0.0,0.0
251.0,5.0,824.0,4.0,1,237.0,0.0,0.0,0.0
1285.5,13.333333333333334,1051.0,4.0,1,598.0,0.0,0.0,0.0
458.5,2.0,196.0,4.0,1,198.0,0.0,0.0,0.0
39.0,1.0,797.0,4.0,1,693.0,12.5,1.0,0.0
451.0,5.333333333333333,86.0,4.0,1,1652.0,0.0,0.0,0.0
636.0,5.0,506.0,4.0,1,791.0,0.0,0.0,0.0
571.5,4.0,25.0,4.0,1,85.0,0.0,0.0,0.0
152.0,2.5,587.0,4.0,1,62.0,22.0,0.0,0.0
67.0,3.0,521.0,4.0,1,211.0,0.0,0.0,0.0
72.25,2.0,401.0,4.0,1,237.0,6.0,0.0,0.0
224.0,4.5,192.0,4.0,1,126.0,0.0,0.0,0.0
289.25,7.0,395.0,2.0,1,23.0,0.0,0.0,0.0
388.0,4.0,648.0,4.0,1,195.0,0.0,0.0,0.0
2.0,7.333333333333333,624.0,0.0,0,470.0,10.0,5.0,0.0
609.0,6.0,932.0,5.0,1,1474.0,0.0,0.0,0.0
394.0,4.0,234.0,4.0,1,674.0,0.0,0.0,0.0
411.0,4.0,227.0,4.0,1,1050.0,0.0,0.0,0.0
455.0,4.0,188.0,4.0,1,1515.0,0.0,0.0,0.0
39.0,1.0,127.0,4.0,0,128.0,12.375,5.0,0.0
172.66666666666666,4.0,296.0,4.0,1,56.0,0.0,0.0,0.0
604.5,5.0,28.0,4.0,1,613.0,0.0,0.0,0.0
369.0,5.0,188.0,4.0,1,134.0,0.0,0.0,0.0
380.0,5.0,584.0,4.0,1,856.0,0.0,0.0,0.0
684.5,6.0,913.0,4.0,1,537.0,0.0,0.0,0.0
336.0,4.0,347.0,4.0,1,83.0,0.0,0.0,0.0
64.0,1.5,615.0,4.0,1,502.0,0.0,0.0,0.0
42.0,2.0,408.0,4.0,1,325.0,30.0,0.0,0.0
106.0,2.0,296.0,4.0,1,209.0,0.0,0.0,0.0
193.5,21.0,363.0,4.0,1,328.0,0.0,0.0,0.0
16.0,4.0,259.0,5.0,1,417.0,13.6,3.0,0.0
128.0,3.0,845.0,4.0,1,21.0,0.0,0.0,0.0
22.0,1.0,475.0,4.0,1,937.0,0.0,0.0,0.0
463.0,3.0,335.0,4.0,1,1578.0,0.0,0.0,0.0
458.0,4.0,255.0,4.0,1,81.0,0.0,0.0,0.0
267.0,4.0,1022.0,4.0,1,192.0,0.0,0.0,0.0
761.0,6.0,1515.0,4.0,1,2502.0,0.0,0.0,0.0
991.0,10.5,1438.0,4.0,1,1805.0,0.0,0.0,0.0
362.0,7.0,82.0,4.0,1,670.0,0.0,0.0,0.0
995.0,11.0,2234.0,4.0,1,3940.0,0.0,0.0,0.0
480.0,8.0,205.0,2.0,1,4.0,0.0,0.0,0.0
215.0,4.0,1152.0,4.0,1,55.0,0.0,0.0,0.0
143.5,3.0,1078.0,5.0,1,430.0,0.0,0.0,0.0
133.0,1.5,771.0,4.5,1,271.0,0.0,0.0,0.0
63.0,1.5,584.0,4.0,0,717.0,0.0,0.0,0.0
364.5,15.0,467.0,4.0,1,756.0,0.0,0.0,0.0
1501.0,27.0,690.0,5.0,1,233.0,0.0,0.0,0.0
1004.25,18.0,657.0,5.0,1,972.0,0.0,0.0,0.0
874.0,5.0,1258.0,4.0,1,3466.0,0.0,0.0,0.0
275.0,5.0,321.0,4.0,1,729.0,0.0,0.0,0.0
660.5,4.0,422.0,4.0,1,1430.0,0.0,0.0,0.0
747.0,8.333333333333334,953.0,4.0,1,770.0,0.0,0.0,0.0
740.5,15.0,1173.0,4.0,1,63.0,0.0,0.0,0.0
413.0,2.0,291.0,4.0,1,117.0,0.0,0.0,0.0
119.0,3.0,128.0,4.0,1,741.0,30.0,0.0,0.0
772.0,4.5,1187.0,4.0,1,2114.0,0.0,0.0,0.0
38.75,1.0,655.0,5.0,1,669.0,0.0,0.0,0.0
491.5,4.0,414.0,4.0,1,0.0,0.0,0.0,0.0
401.5,6.0,252.0,2.6666666666666665,1,270.0,0.0,0.0,0.0
605.0,5.0,312.0,4.0,1,1264.0,0.0,0.0,0.0
389.0,3.0,756.0,4.0,1,651.0,0.0,0.0,0.0
68.5,3.0,760.0,4.0,1,148.0,10.142857142857142,4.0,0.0
239.5,14.0,297.0,4.0,1,454.0,0.0,0.0,0.0
